278, 2020-12-22 1783 256 386 1621;
279, 2020-12-23 1426 200 278 1235;
280, 2020-12-24 1454 187 292 1390;
281, 2020-12-25 743 112 159 808;
282, 2020-12-26 513 101 146 289;
283, 2020-12-27 589 107 175 239;
284, 2020-12-28 1217 229 364 806;
285, 2020-12-29 1627 251 388 1138;
286, 2020-12-30 1404 209 304 1266;
287, 2020-12-31 1317 177 252 1188;
288, 2021-01-01 677 99 133 687;
289, 2021-01-02 646 101 157 285;
290, 2021-01-03 657 101 116 224;
291, 2021-01-04 1262 246 380 672;
292, 2021-01-05 1747 245 346 1474;
293, 2021-01-06 1438 234 291 1265;
294, 2021-01-07 1441 181 277 1362;
295, 2021-01-08 1445 245 281 1230;
296, 2021-01-09 944 143 171 885;
297, 2021-01-10 729 118 151 286;
298, 2021-01-11 1289 208 310 687;
299, 2021-01-12 1660 258 362 1362;
300, 2021-01-13 1588 208 232 1290;
301, 2021-01-14 1691 206 283 1143;
302, 2021-01-15 1634 249 288 1303;
303, 2021-01-16 1199 188 196 1007;
304, 2021-01-17 698 136 141 291;
305, 2021-01-18 1666 254 404 882;
306, 2021-01-19 1995 315 373 1622;
307, 2021-01-20 1911 292 316 1461;
308, 2021-01-21 1759 253 358 1327;
309, 2021-01-22 1861 270 323 1308;
310, 2021-01-23 1174 172 231 928;
311, 2021-01-24 918 175 172 246;
312, 2021-01-25 1773 299 449 769;
313, 2021-01-26 2006 343 352 1486;
314, 2021-01-27 1933 318 351 1441;
315, 2021-01-28 1726 272 348 1362;
316, 2021-01-29 1823 271 356 1304;
317, 2021-01-30 1176 192 242 942;
318, 2021-01-31 816 148 195 298;
319, 2021-02-01 1750 318 456 939;
320, 2021-02-02 2189 369 404 1601;
321, 2021-02-03 1882 275 358 1592;
322, 2021-02-04 1752 275 360 1537;
323, 2021-02-05 1719 255 296 1590;
324, 2021-02-06 1126 168 191 1147;
325, 2021-02-07 790 160 171 291;
326, 2021-02-08 1893 356 460 1043;
327, 2021-02-09 1931 334 439 1764;
328, 2021-02-10 1525 282 297 1430;
329, 2021-02-11 1618 269 371 1673;
330, 2021-02-12 1405 264 320 1561;
331, 2021-02-13 1085 191 199 1089;
332, 2021-02-14 651 113 167 280;
333, 2021-02-15 1431 306 413 934;
334, 2021-02-16 1857 323 352 1740;
335, 2021-02-17 1559 311 311 1525;
336, 2021-02-18 1490 262 272 1411;
337, 2021-02-19 1543 309 328 1422;
338, 2021-02-20 1029 195 183 1076;
339, 2021-02-21 593 141 160 217;
340, 2021-02-22 1529 274 334 823;
341, 2021-02-23 1780 345 314 1575;
342, 2021-02-24 1636 319 278 1396;
343, 2021-02-25 1454 301 261 1444;
344, 2021-02-26 1634 303 286 1488;
345, 2021-02-27 1007 208 186 938;
346, 2021-02-28 728 164 122 297;
347, 2021-03-01 1393 347 379 857;
348, 2021-03-02 1705 366 301 1541;
349, 2021-03-03 1622 322 326 1413;
350, 2021-03-04 1538 293 295 1424;
351, 2021-03-05 1397 324 239 1255;
352, 2021-03-06 1097 233 173 998;
353, 2021-03-07 720 187 130 389;
354, 2021-03-08 1584 381 360 840;
355, 2021-03-09 1810 421 299 1471;
356, 2021-03-10 1574 343 266 1513;
357, 2021-03-11 1609 385 266 1414;
358, 2021-03-12 1448 306 228 1262;
359, 2021-03-13 1087 263 174 968;
360, 2021-03-14 821 188 140 351;
361, 2021-03-15 1676 401 333 824;
362, 2021-03-16 2005 435 320 1622;
363, 2021-03-17 1745 357 246 1638;
364, 2021-03-18 1661 382 273 1297;
365, 2021-03-19 1699 383 297 1426;
366, 2021-03-20 1348 317 185 955;
367, 2021-03-21 926 196 138 385;
368, 2021-03-22 1902 471 344 955;
369, 2021-03-23 2286 488 292 1669;
370, 2021-03-24 2130 384 248 1710;
371, 2021-03-25 1860 408 228 1432;
372, 2021-03-26 2048 476 304 1480;
373, 2021-03-27 1567 332 194 1299;
374, 2021-03-28 1017 238 131 404;
375, 2021-03-29 2099 484 362 1091;
376, 2021-03-30 2579 569 337 2011;
377, 2021-03-31 2209 472 304 1865;
378, 2021-04-01 2035 480 313 1561;
379, 2021-04-02 2092 505 301 1614;
380, 2021-04-03 1730 399 187 1348;
381, 2021-04-04 1224 270 185 562;
382, 2021-04-05 1219 284 197 448;
383, 2021-04-06 2459 632 409 1273;
384, 2021-04-07 3131 673 433 2388;
385, 2021-04-08 2156 498 345 2116;
386, 2021-04-09 2120 498 301 1986;
387, 2021-04-10 1649 388 210 1481;
388, 2021-04-11 1305 286 178 656;
389, 2021-04-12 2172 492 385 1168;
390, 2021-04-13 2501 555 324 2153;
391, 2021-04-14 2072 441 297 2115;
